"Feature","Omics","p.value","FDR","FC"
"ENSG00000000003","Transcriptomics",0.97313332682827,0.984472745270777,0.0206797732329428
"ENSG00000000419","Transcriptomics",0.323494412504682,0.471168547686712,0.0969990559517018
"ENSG00000000457","Transcriptomics",0.00272448089258775,0.00868020886645469,0.813822179072188
"ENSG00000000460","Transcriptomics",9.38317983934152e-05,0.000433000255691969,-0.992497681302043
"ENSG00000000938","Transcriptomics",0.0280754755265915,0.0650078110931445,1.64328128810933
"ENSG00000000971","Transcriptomics",0.51511396197064,0.659904765313707,0.359991645844542
"ENSG00000001036","Transcriptomics",0.686705507636744,0.796740337094948,0.0814316435267856
"ENSG00000001084","Transcriptomics",0.981301453657603,0.989560275029485,0.0093388101070403
"ENSG00000001167","Transcriptomics",8.73778351083265e-05,0.000406074216112194,0.680707206974599
"ENSG00000001460","Transcriptomics",0.325561634887608,0.473503787646425,0.256722525760141
"ENSG00000001461","Transcriptomics",0.583399306585509,0.718036437680542,0.195154997701045
"ENSG00000001497","Transcriptomics",1.29016055786654e-06,8.67912699125964e-06,0.850393666969181
"ENSG00000001561","Transcriptomics",0.556695837394066,0.695124081788374,0.303296139518785
"ENSG00000001617","Transcriptomics",0.443194693125774,0.592141008596152,0.618288407100119
"ENSG00000001629","Transcriptomics",0.011717165734417,0.0309642975712115,0.524852014315532
"ENSG00000001630","Transcriptomics",0.0299802110830465,0.0687708222369947,0.537433688326327
"ENSG00000001631","Transcriptomics",0.00755682862710969,0.0211904673550886,0.427971046459566
"ENSG00000002016","Transcriptomics",0.537207875885992,0.679072777804353,-0.157540636040155
"ENSG00000002330","Transcriptomics",0.00337709265237908,0.0104639062222334,-0.639471721750577
"ENSG00000002549","Transcriptomics",3.20733595143051e-05,0.000163562127946403,1.30751356738541
"ENSG00000002586","Transcriptomics",0.113731158407461,0.207509276455604,0.391639915831443
"ENSG00000002587","Transcriptomics",1.16697310843874e-06,7.88263185490412e-06,-2.83653998855341
"ENSG00000002726","Transcriptomics",0.85499495477725,0.911943128217999,0.167028323617841
"ENSG00000002746","Transcriptomics",0.27762213955244,0.420110534952008,-1.42861130605787
"ENSG00000002822","Transcriptomics",0.000862133051781687,0.00316264260151314,-0.910170013959706
"ENSG00000002834","Transcriptomics",9.97953757384432e-09,9.91849550899869e-08,-1.30715566415594
"ENSG00000002919","Transcriptomics",0.243592213797518,0.380117250063227,-0.446277287354573
"ENSG00000002933","Transcriptomics",0.927504681717647,0.957230663591938,-0.0607141927518826
"ENSG00000003056","Transcriptomics",0.779108161269639,0.861401126427777,-0.0596354331493874
"ENSG00000003137","Transcriptomics",0.0113316319981205,0.0300801160549628,2.45641986362351
"ENSG00000003147","Transcriptomics",1.94311798676116e-05,0.000102975950519231,-1.12122303488611
"ENSG00000003249","Transcriptomics",0.901097190907663,0.941386913712359,0.0969550293817612
"ENSG00000003393","Transcriptomics",0.838711687375102,0.901490401176849,-0.0457349136978151
"ENSG00000003400","Transcriptomics",0.051690156326008,0.108559748451314,0.840540080291202
"ENSG00000003402","Transcriptomics",4.81802237204028e-40,1.58022211539269e-37,4.08878092944783
"ENSG00000003436","Transcriptomics",0.179753819363858,0.300100678979997,0.704712584063428
"ENSG00000003509","Transcriptomics",0.189828464515235,0.31318602096221,-0.320138677833217
"ENSG00000003756","Transcriptomics",2.68658084612516e-05,0.000139128752531353,0.730388846300094
"ENSG00000003987","Transcriptomics",0.346636364251006,0.496624870348614,0.680471429047122
"ENSG00000003989","Transcriptomics",1.58855020132866e-45,8.03851789020911e-43,6.69097536543818
"ENSG00000004059","Transcriptomics",0.156079097395644,0.268588893701346,-0.195470650173413
"ENSG00000004139","Transcriptomics",0.923300667348085,0.954282103139702,-0.0644549853707574
"ENSG00000004142","Transcriptomics",0.572526689281383,0.708398783978104,-0.0633009513037105
"ENSG00000004399","Transcriptomics",0.0021030024250449,0.00691795615712671,-1.06639888866264
"ENSG00000004455","Transcriptomics",0.649561855863631,0.768889690823595,-0.0610781948334338
"ENSG00000004468","Transcriptomics",6.65416586875166e-16,1.8766231162653e-14,3.72498990153742
"ENSG00000004478","Transcriptomics",0.00143077751503201,0.00493101781839501,-0.726130008282188
"ENSG00000004487","Transcriptomics",0.744198981905493,0.837426712352362,-0.103094602457775
"ENSG00000004534","Transcriptomics",0.578341771036536,0.71382887857331,-0.104890064222097
"ENSG00000004660","Transcriptomics",3.99626045033643e-06,2.43055524848587e-05,-2.07395172559258
"ENSG00000004700","Transcriptomics",0.0051043954001685,0.0150572862978655,0.417678784080373
"ENSG00000004766","Transcriptomics",0.0182133961195138,0.0449773366805228,-0.542934884588675
"ENSG00000004776","Transcriptomics",NA,NA,-0.77726344048672
"ENSG00000004777","Transcriptomics",0.065935560728539,0.13300509294569,-0.693461749750526
"ENSG00000004779","Transcriptomics",0.17311657793311,0.291562163538733,-0.181710600900384
